# Posiciones articulares (matriz) del PSM derecho
# Trial JIGSAWS: Needle_Passing_B001  (3438 frames @ 30 Hz)
# q1-q2-q4-q5-q6-q7 en grados; q3 (insercion) en metros
# IK=0 marca frames sin solucion valida (se conserva la
# ultima configuracion valida; en la animacion salen en rojo)
# modo de mapeo del gripper: crudo
# IK OK 100.00 %, error mediana 0.00000 mm, maximo 0.00100 mm, margen minimo 0.2989
#  frame      t(s)  gesto   IK  sat     q1(deg)    q2(deg)      q3(m)    q4(deg)    q5(deg)    q6(deg)    q7(deg)    err(mm)
       1    0.0000      -    1    0    -24.5404    20.5939   0.121759     7.1032   -13.1624   -15.1558     0.0000    0.00000
       2    0.0333      -    1    0    -24.5873    20.4225   0.122121     7.5651   -12.9277   -15.8874     0.0000    0.00000
       3    0.0667      -    1    0    -24.5997    20.3052   0.122275     7.8028   -12.8214   -16.1798     0.0000    0.00000
       4    0.1000      -    1    0    -24.6215    20.0467   0.122560     8.1714   -12.5432   -16.5609     0.0000    0.00000
       5    0.1333      -    1    0    -24.6838    19.8755   0.122765     8.2153   -12.7595   -16.5611     0.0000    0.00000
       6    0.1667      -    1    0    -24.7290    19.8116   0.122848     8.3657   -12.8372   -16.5457     0.0000    0.00016
       7    0.2000      -    1    0    -24.7980    19.7145   0.122967     8.4314   -12.7097   -16.4966     0.0000    0.00036
       8    0.2333      -    1    0    -24.8756    19.7170   0.123068     8.4033   -12.6656   -16.2161     0.0000    0.00018
       9    0.2667      -    1    0    -24.9272    19.7773   0.123155     8.3725   -12.7443   -16.1498     0.0000    0.00013
      10    0.3000      -    1    0    -24.9645    19.7978   0.123181     8.3469   -12.7233   -15.9442     0.0000    0.00009
      11    0.3333      -    1    0    -25.0331    19.8699   0.123208     8.2953   -12.7226   -15.5694     0.0000    0.00036
      12    0.3667      -    1    0    -25.0938    19.9837   0.123226     8.2393   -12.8240   -15.3702     0.0000    0.00032
      13    0.4000      -    1    0    -25.1231    20.0383   0.123241     8.2188   -12.8964   -15.3492     0.0000    0.00007
      14    0.4333      -    1    0    -25.2494    20.1120   0.123251     8.1268   -12.8491   -14.7020     0.0000    0.00000
      15    0.4667      -    1    0    -25.3754    20.1937   0.123372     8.0188   -12.8995   -14.2898     0.0000    0.00000
      16    0.5000      -    1    0    -25.4997    20.2383   0.123578     7.9593   -12.9550   -14.0610     0.0000    0.00048
      17    0.5333      -    1    0    -25.5614    20.2419   0.123692     7.9467   -12.9606   -13.9598     0.0000    0.00011
      18    0.5667      -    1    0    -25.6802    20.2319   0.123932     8.2609   -12.8697   -13.8323     0.0000    0.00000
      19    0.6000      -    1    0    -25.7577    20.2337   0.124162     8.2473   -12.8718   -13.6995     0.0000    0.00028
